,Transaction Date,Transaction ID,Item,Quantity,Price Per Unit,Total Spent
0,2023-01-01,TXN_4801947,Juice,1.0,3.0,3.0
9942,2023-01-01,TXN_5811766,Juice,5.0,3.0,15.0
19,2023-01-01,TXN_6234882,Cookie,4.0,1.0,4.0
18,2023-01-01,TXN_1581562,Coffee,2.0,2.0,4.0
17,2023-01-01,TXN_4292280,Juice,4.0,3.0,12.0
13,2023-01-01,TXN_5358805,Coffee,5.0,2.0,10.0
12,2023-01-01,TXN_3093284,Coffee,4.0,2.0,8.0
11,2023-01-01,TXN_2024598,Smoothie,1.0,4.0,4.0
10,2023-01-01,TXN_8308672,Salad,2.0,5.0,10.0
14,2023-01-01,TXN_1604072,Coffee,2.0,2.0,4.0
8,2023-01-01,TXN_5563675,Tea,3.0,1.5,4.5
7,2023-01-01,TXN_2192787,Smoothie,5.0,4.0,20.0
5,2023-01-01,TXN_2690222,Juice,4.0,3.0,12.0
4,2023-01-01,TXN_7367474,Juice,5.0,3.0,15.0
3,2023-01-01,TXN_8842223,Smoothie,5.0,4.0,20.0
2,2023-01-01,TXN_6093955,Tea,5.0,1.5,7.5
9,2023-01-01,TXN_2104473,Juice,3.0,3.0,9.0
1,2023-01-01,TXN_9161256,Smoothie,2.0,4.0,8.0
35,2023-01-02,TXN_2339781,Smoothie,2.0,4.0,8.0
36,2023-01-02,TXN_9454387,Salad,2.0,5.0,10.0
37,2023-01-02,TXN_1026827,Cookie,4.0,1.0,4.0
9727,2023-01-02,TXN_4876195,Tea,2.0,1.5,3.0
39,2023-01-02,TXN_9326761,Tea,1.0,1.5,1.5
9604,2023-01-02,TXN_3412490,Juice,2.0,3.0,6.0
34,2023-01-02,TXN_7906197,Smoothie,5.0,4.0,20.0
38,2023-01-02,TXN_6868182,Smoothie,5.0,4.0,20.0
33,2023-01-02,TXN_4314314,Juice,4.0,3.0,12.0
40,2023-01-02,TXN_1298084,Tea,2.0,1.5,3.0
31,2023-01-02,TXN_6935600,Coffee,3.0,2.0,6.0
32,2023-01-02,TXN_4258943,Smoothie,2.0,4.0,8.0
22,2023-01-02,TXN_4893692,Salad,2.0,5.0,10.0
20,2023-01-02,TXN_6882503,Tea,1.0,1.5,1.5
24,2023-01-02,TXN_3410971,Smoothie,1.0,4.0,4.0
21,2023-01-02,TXN_1853298,Cookie,5.0,1.0,5.0
26,2023-01-02,TXN_4262142,Juice,2.0,3.0,6.0
27,2023-01-02,TXN_6843517,Smoothie,5.0,4.0,20.0
29,2023-01-02,TXN_2575160,Tea,5.0,1.5,7.5
30,2023-01-02,TXN_9649503,Juice,1.0,3.0,3.0
25,2023-01-02,TXN_2714524,Smoothie,4.0,4.0,16.0
55,2023-01-03,TXN_2377708,Cookie,1.0,1.0,1.0
61,2023-01-03,TXN_9699174,Smoothie,3.0,4.0,12.0
60,2023-01-03,TXN_6669417,Salad,5.0,5.0,25.0
59,2023-01-03,TXN_9728454,Juice,4.0,3.0,12.0
58,2023-01-03,TXN_6460409,Salad,3.0,5.0,15.0
57,2023-01-03,TXN_2030107,Juice,4.0,3.0,12.0
53,2023-01-03,TXN_3963927,Smoothie,4.0,4.0,16.0
56,2023-01-03,TXN_3749801,Juice,5.0,3.0,15.0
51,2023-01-03,TXN_3205009,Tea,2.0,1.5,3.0
50,2023-01-03,TXN_6368719,Juice,4.0,3.0,12.0
48,2023-01-03,TXN_6697669,Juice,5.0,3.0,15.0
47,2023-01-03,TXN_3297457,Juice,2.0,3.0,6.0
46,2023-01-03,TXN_1607471,Smoothie,2.0,4.0,8.0
45,2023-01-03,TXN_7355326,Cookie,1.0,1.0,1.0
44,2023-01-03,TXN_7686476,Coffee,3.0,2.0,6.0
43,2023-01-03,TXN_2716377,Juice,4.0,3.0,12.0
42,2023-01-03,TXN_6044312,Juice,2.0,3.0,6.0
41,2023-01-03,TXN_7313328,Juice,1.0,3.0,3.0
52,2023-01-03,TXN_2493262,Cookie,2.0,1.0,2.0
81,2023-01-04,TXN_8510450,Juice,4.0,3.0,12.0
82,2023-01-04,TXN_3857768,Coffee,2.0,2.0,4.0
83,2023-01-04,TXN_1232346,Salad,5.0,5.0,25.0
84,2023-01-04,TXN_4147675,Tea,2.0,1.5,3.0
85,2023-01-04,TXN_7041367,Cookie,4.0,1.0,4.0
9686,2023-01-04,TXN_4759797,Salad,3.0,5.0,15.0
87,2023-01-04,TXN_7708201,Salad,3.0,5.0,15.0
88,2023-01-04,TXN_5136479,Smoothie,1.0,4.0,4.0
9601,2023-01-04,TXN_9582716,Juice,2.0,3.0,6.0
80,2023-01-04,TXN_4033982,Tea,2.0,1.5,3.0
9941,2023-01-04,TXN_3660048,Juice,1.0,3.0,3.0
86,2023-01-04,TXN_9908225,Smoothie,5.0,4.0,20.0
79,2023-01-04,TXN_5788053,Smoothie,5.0,4.0,20.0
75,2023-01-04,TXN_8309656,Smoothie,3.0,4.0,12.0
77,2023-01-04,TXN_3317406,Smoothie,3.0,4.0,12.0
78,2023-01-04,TXN_2861396,Salad,5.0,5.0,25.0
67,2023-01-04,TXN_1411473,Coffee,3.0,2.0,6.0
66,2023-01-04,TXN_3896128,Juice,1.0,3.0,3.0
65,2023-01-04,TXN_8867957,Smoothie,1.0,4.0,4.0
63,2023-01-04,TXN_9113574,Coffee,4.0,2.0,8.0
